,ALL,SE1,SE2,SE3,SE4
pearson_temp_c,-0.04277742607886218,-0.897412701655316,-0.8735440818488021,-0.851317684742164,-0.8142761528245096
spearman_temp_c,-0.12580232538494932,-0.8980336644685396,-0.889050187421656,-0.8583802088702854,-0.8180061319451677
pearson_wind_ms,0.14346569559710204,-0.1781017755637542,0.029791203221656234,0.09267037715528377,0.09586198506990203
spearman_wind_ms,0.14564139394134643,-0.18485142816234312,0.03127134603777825,0.11366985747221643,0.11763986933027662
pearson_precip_mm,-0.007491589316152605,-0.0493613227466669,,-0.052776222878136145,-0.047499220806408414
spearman_precip_mm,-0.011974328265070241,-0.044301522614823785,,-0.06683117411195906,-0.061951595832373085
